filename,ab,abbr,add,addrLine,address,cell,choice,closer,corr,date,dateline,del,div1,div2,expan,figDesc,figure,fw,gap,head,hi,item,lb,list,note,opener,orgName,orig,p,pb,persName,postscript,ref,reg,row,rs,salute,sic,signed,stamp,table,unclear
correspondence:wfc.css00576.xml,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,10,0,1,0,1,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00575.xml,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,9,0,1,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00578.xml,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,11,0,1,0,1,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00073.xml,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,1
correspondence:wfc.css00569.xml,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00574.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,8,0,1,0,0,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00568.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,8,0,1,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00451.xml,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,1,0,0,0,1,0,5,0,1,1,0,0,3,1,3,0,4,0,0,0,1,2,1,0,0,0
correspondence:wfc.css00461.xml,0,0,1,0,0,0,5,1,5,0,1,1,1,0,0,0,2,0,0,0,5,0,8,0,2,1,1,0,6,2,2,1,3,0,0,0,1,5,1,0,0,0
correspondence:wfc.css00447.xml,0,0,1,0,0,0,2,1,2,0,1,1,1,0,0,0,2,0,0,0,1,0,2,0,1,1,0,0,4,1,1,0,3,0,0,0,1,2,1,0,0,0
correspondence:wfc.css00450.xml,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0,2,1,3,0,2,0,0,0,1,0,1,0,0,0
correspondence:wfc.css00581.xml,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8,0,8,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00563.xml,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,12,0,1,0,0,0,1,1,3,0,5,0,0,0,0,0,1,0,0,0
