filename,abbr,add,addrLine,address,argument,author,back,bibl,body,byline,cell,choice,cit,closer,corr,date,dateline,del,div,emph,epigraph,figure,floatingText,foreign,gap,head,hi,item,l,label,lb,lg,list,mentioned,milestone,name,note,opener,p,pb,q,ref,row,salute,seg,sic,signed,sp,speaker,stage,table,term,title,trailer,unclear
VAC6565.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,92,18,0,0,2,6,0,95,0,0,6,0,0,2,0,0,0,0,0,0,769,168,4,0,0,1,0,0,2,0,0,0,0,0,0,0,1
VAC6884.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5661.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,3,0,0,0,0,15,1,0,11,0,0,3,0,0,0,0,0,0,1003,105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VAC7452.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC8262.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7366.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7986.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6739.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6760.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5672.xml,0,0,0,0,0,0,0,0,6,0,0,32,0,6,32,0,5,0,70,204,0,0,6,25,0,64,0,0,34,0,0,8,0,0,13,0,2,1,3033,202,14,4,0,2,0,32,6,0,0,0,0,0,6,0,11
